Title,KSCdirect Part #,Price,UPC
1 150# TYPE 304 SS SQ HEAD PLUG,PLUG 304 1,$3.57,671404096106
2 150# TYPE 304 SS UNION,UNION 304 2,$38.32,671404096526
1 PVC SCH 80 UNION S X S,SPE 8057-010,$10.25,054211681947
3 BLK MI 150# 90 ELL,90 BLK 3,$70.79,69029135825
2 NON-ASBESTOS 150# FULL FACE FLANGE GASKET CGF1001.116.2.150,GSKT 150 FULL 2,$2.32,
1 X 6 SCH40 TYPE 304 SS NIPPLE,NIP 304 1X6,$8.67,671404027421
1-1/4 BLK MI 150# 90 ST ELL,90ST BLK 1-1/4,$12.60,69029134706
1-1/2 X 3 SCH40 BLK PIPE NIPPLE,NIP BLK 1-1/2X3,$6.48,64444400247
3/4 X 2-1/2 SCH40 BLK PIPE NIPPLE,NIP BLK 3/4X2-1/2,$2.85,64444400144
1 BLK MI 150# CAP,CAP BLK 1,$4.59,69029134803
3/4 X 4 SCH40 TYPE 304 SS NIPPLE,NIP 304 3/4X4,$4.68,671404027216
3/4 72291 ROUGH BRASS 90 ST ELL 5422052 Lead Free,90ST BRS ROU 3/4 LF,$8.10,671404119874
3/8 X 10 FT N/C PLATED THREADED ROD (GAL),ROD 3/8X10 FT,$11.42,69029114537
2 BLK SCH40 PIPE T&C,PIPE BLK TC 2,$8.41,
1-1/2 PVC-DWV 90 STREET ELL P302-015,90ST PVCD 1-1/2,$3.49,054211176016
2 X 1-1/2 PVC-DWV RED COUP P102-251,COUP PVCD 2X1-1/2,$3.75,054211170632
1-1/2 PVC DWV M T/ADPT W/ NUT WSR SPGXSLI,SPE P103R-015,$3.79,054211986677
1/4 150# TYPE 304 SS 90 ELL,90 304 1/4,$2.41,671404094065
3 PVC SCH 80 PLASTIC PIPE - GRAY 43120     Plain End,PIPE PVC80 GRAY 3,$6.61,098248431205
3/4 X CL SCH80 BLK PIPE NIPPLE,NIP XH 3/4XCL,$3.95,64444401141
1/2 X 6 SCH 40 TYPE 304 SS NIPPLE,NIP 304 1/2X6,$5.64,671404026851
1 X 3/4 72206 ROUGH BRASS HEX BUSHING  5422269 Lead Free (XNL114-1612),BUSH BRS 1X3/4 LF,$5.03,671404123062
3/4 PVC40 FEMALE ADPT,SPE 435-007,$0.75,054211162415
1-1/4 X 1 150# TYPE 304 SS BUSHING,BUSH 304 1-1/4X1,$7.78,671404095628
4 BLK STD MERCHANT COUP TAPER TAPPED,COUP BLK 4,$117.56,69029134289
1-1/2 X 1 150# TYPE 304 SS BUSHING,BUSH 304 1-1/2X1,$9.22,671404095673
3/4 C TUBE CAP,MUE W 07009,$1.63,685768232421
4 PVC-40 90 ELL S X S,SPE 406-040,$20.51,054211192641
1/4 BLK MI 150# 90 ELL,90 BLK 1/4,$4.00,69029134629
1/2 X 12 SCH40 BLK PIPE NIPPLE,NIP BLK 1/2X12,$9.81,64444400128
