Title,KSCdirect Part #,Price,UPC
"15CN Series Medium Pressure Filter 1"" npt",PAR 15CN110QEBM2GN1621,,
Proto® Tether-Ready DuraTek™ Slotted Keystone Round Bar Screwdriver - 3,PROTO BLA JK3808RF-TT,,
dropship fee,RID DROP SHIP FEE,,
"1"" NPT MALE STEEL OIL SIGHT WITH BAFFLE HEX HEAD",MSC 56476062,,
"Medium Pressure Inline Filters CN Series 1""",PAR 15CN110QEBM2KS124,,
"Filter Element: 932679Q, KKZ10, Fiberglass 10 micron",PAR 936700Q,,
Browning RK1003PE,REG RK1003PE,,
1x12 PVC Swing Joint Riser,SPE 59-010-12,,
"1"" PVC Swing Joint 90 Elbow MBTXFBT",SPE 591-010-1A,,
"actuator, electric, slider, ELECTRIC ACTUATOR",SMC LEY16AC-30CM-R16N1,,
"valve, sgl, flip, plug-in (dc), VQ1000/VQ20/VQ30 VALVE",SMC VQ1230-5-C4-PR,,
MARTIN SUPER JAW COUPLING,WHI COUMS075 3/4,,
"RUBBERMAID® BRUTE® TRASH CAN - 20 GALLON, YELLOW",ULI H-1854Y,,
"valve, dbl, VQ1000/VQ20/VQ30 VALVE",SMC VQ1231-5-C4,,
