Thread Size,Cable Type,Number of Lamps,Temperature Range,Dimmable,Box Type,Head Type,Enclosure,Wall Thickness,Beam Type,Packaging Type,Minimum Operating Temperature,Gauge Thickness,Color Temperature,Nominal Size,Hub Size,Humidity Range,Tensile Strength,Overall Length,Total Harmonic Distortion,Series,Duct Diameter,Housing Width,Flange Width,Price,Voltage Rating,Fixture Type,Hex Size,Motion Sensing,Gauge,Light Color,Low Lead Compliance,Flange Thickness,Rod Size,Sensor Type,Bolt Hole Size,Fan Motor Wattage,Strands,Average Life,Mounting Type,Element Material,url,On Hand,Current/Amps,Category,Insulation Material,Housing Material,Grille Material,Nipple Type,Slot Size,Power Rating,Insulated/Non-Insulated,Connection Type,Description,Flexibility,Operation Type,Number of Pieces,Diameter,Cable Tap,Humidity Sensing,Model,Cord Diameter,Details,Connector Type,ELEMENT MATERIAL,Finish,Abrasive Material,Liner Material,Amperage Rating,Shape,Form,Dielectric Strength,Blow-Off Size,Power Factor,Conduit Size,Capacity,Number of Knockouts,Adhesive Material,Hub Diameter,Timing Range,Cutout,Cord Size,Feed Type,BODY MATERIAL,Fixture Wattage,Pressure Rating,Short Circuit Current Rating,Tap Quantity,Drive Type,Flow Path,Mounting Orientation,Schedule Rating,Max. Pressure (PSI),Stages Heat,Composition,Number of Heads,Length,Element Size,Tongue Size,Supplier,Actuator,Hole Size,Grille Length,Media,Electrical Ratings,Start Type,Container Size,Specifications,Number of Hubs,Number of Gangs,Style,Orientation,Number of Cables,Number of Outlets,Cable Openings,Conductor Material,Sones,Specifications Met,Ballast Factor,Phase,Number of Poles,Head Size,Bolt Circle Diameter,Number of Holes,Angle,Construction,Conductor Type,Flow Rate,Terminal Type,Operation Mode,Supplemental Files,Lamp Base Type,KSCdirect Part #,Container Type,Body Material,Depth,Length Through Hub,Flammability Rating,Radius,Voltage,Lamp Wattage,Peak Surge Current,Insulation,Diameter - Thread Size,Width,Jacket Color,Control,Housing Finish,Flash Point,Ball Material,Fan Switching,Port Type,Bundle Diameter,Number of Ports,Tube Size,Roll Length,Manufacturer,Point Size,Family,Lamp Base,Point Type,TYPE,Number of Jaws,Dimensions,Plug Type,Roll Width,Drive Size,Specific Gravity,Type,Outside Diameter,Max Pressure,Knockout Size,Stud Size,Bar Length,Operation,UPC,Pipe Size,Standard Pack,Wire Type,Action,Module Type,Spring Type,Grit,Contact Configuration,Stem & Pin Material,Stages Cool,Min. Pressure (PSI),Material Type,Method of Manufacture,Resistance,AC Cable Size,Actuator Type,Width (In.),Air Flow Rate,Core Diameter,Ballast Type,Trade Size,NEMA Rating,Contact Form,Frequency Rating,Legend Color,Ceiling Opening,Number of Stages,Recommended Torque,Terminal Designations,Disc Material,Maximum Steady Load,THREAD TYPE,Pressure Class,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Incandescent Equivalent,Measurement System,Mounting,Shell Style,Grille Width,MFG Part #,Time Setting,Lamp Finish,Load Capacity,Contact Rating,Material,Thermostat Type,Class,Lighting Technology,Odor/Scent,Pipe Size NPT,Color Rendering Index (CRI),Nominal Discharge Current,Inlet to Outlet Length,Lamp Type,Operating Cycles,Number of Wires,Cord Length,Tab Size,Display Type,Thread Type,Designation,Tungsten Rating,Softgoods Material,Slot Spacing,Jacket Material,Trip Type,Environmental Conditions,End Style,Number of Conductors,Horsepower,Adhesion Strength,Cover Type,Barrel Type,Depth (In.),Grade,Hand Wheel Diameter,Minimum Starting Temperature,Power Source,Orifice Size,Top to Inlet Center,Tap Size,AC/DC,Conductor Size,Lock Mechanism,Light Output,Cable Size,Size,Housing Height,Wire Size,Actuation Type,Maximum Operating Temperature,Enclosure Type,Receptacle Type,Operational Mode,Fitting/Connector Type,Body Type,Color,Trim Material,Lumens,Seal Material,Suitable For Use With,Coil Voltage,Height (In.),Main/Run Size,Title,Control Range,Staple Size,Number of Bolt Holes,Housing Length,Backing Material,Ballast Load,Insulated,Wattage,Legend,Thickness,Insulation Type,Average Ft,THREAD SIZE,Bend Radius,Cleat Type,Differential,Inside Diameter,End Connection Type,Barrel Size,image,Height,Hub Type,ELEMENT SIZE,Run Size,Cable Entry Size,Temperature Rating,Working Pressure,Connection,Interrupt Rating
,,,,,,,,,,,,,,,,,,,,,,,,$1.84,,,,,,,,,,,,,,,,,https://kscdirect.com/item/URD%2B2-2-2-4/ENCORE%2BWIRE_DYKE%2BAL%2BWIRE%2B4-C%2BUNDERGROUND%2B%2B%2B381351601250,6571,,Electrical,,,,,,,,,DYKE AL WIRE 4-C UNDERGROUND   381351601250,,,,,,,,,"DYKE AL WIRE 4-C UNDERGROUN
Keywords: ALCACA URD 2-2-2-4  ALCAN CABLE ALCACA00042          DYKE AL WIRE 4-C UNDERGROUN
Category:
[0] => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => ALUMINUM WIRE => URD
[1] => SUPPLIER DIRECTORY => ALCAN CABLE => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => ALUMINUM WIRE => URD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URD 2-2-2-4,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,739373887153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381351601250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DYKE AL WIRE 4-C UNDERGROUND   381351601250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$5.07,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BWF%2BRB-5V/Approved%2BSupplier_ROUND%2BOUTLET%2BBOX%2B1%252F2%2522%2BGREY%2B5%2BHOLE,80,,Electrical,,,,,,,,,"ROUND OUTLET BOX 1/2"" GREY 5 HOLE",,,,,,,,,"ROUND OUTLET BOX 1/2"" GREY 5 HOLE
Keywords: TEDDIC BWF RB-5V  TEDDICO INTERMZZ005          ROUND OUTLET BOX 1/2 GREY 5 HOLE
Category:
[0] => ELECTRICAL => WEATHERPROOF WIRING DEVICES => ROUND OUTLET BOXES & COVERS
[1] => SUPPLIER DIRECTORY => TEDDICO => ELECTRICAL => WEATHERPROOF WIRING DEVICES => ROUND OUTLET BOXES & COVERS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BWF RB-5V,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,087115200662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RB5V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ROUND OUTLET BOX 1/2"" GREY 5 HOLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$15.87,250 VAC,,,,,,,,,,,,,,,,https://kscdirect.com/item/LEV%2B5374-S00/LEVITON_EB%2BSHALLOW%2BSGL%2BREC%2B2P%2B3W%2BGRND%2B50A-250V%2B0,49,,Electrical,,,,,,,,,EB SHALLOW SGL REC 2P 3W GRND 50A-250V 0,,,,,,,,,"Description
Leviton® Straight Blade Receptacle, Grounding, 250 VAC, 50 A, 3 hp, 2 Pole, 3 Wires, NEMA 6-50R/WD-6 NEMA Rating, Industrial Grade, -40 to 60 deg C, Side Wire Terminal, Thermoplastic, White, 3.75 in H x 2.42 in W x 1.57 in D Dimensions
Features:
Steel strap
Applications:
Industrial Applications
Standards/Approval:
CSA 22.2 No. 42/65/14
NOM-ANCE Certified
UL 498/486E
Warranty:
10 years",,,,,,50 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEVITON,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,Side Wire,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5073386,,LEV 5374-S00,,,,,,,,,,,,,,,,,,,,,,,,LEVITON,,,,,,,3.75 in H x 2.42 in W x 1.57 in D,,,,,Grounding,,,,,,,078477695401,,,,,,,,,,,,,,,,,,,,,,NEMA 6-50R/WD-6,,,,,,,,,,,,,,,,,,,,,5374-S00,,,,,Thermoplastic,,,,,,,,,,,3,,,,,,,,,,,,,,3 hp,,,,,Industrial,,,,,,,,,,,,,,,,,,,,,,White,,,,,,,,EB SHALLOW SGL REC 2P 3W GRND 50A-250V 0,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=LEV%205374-S00&mdx=300,,,,,,-40 to 60 deg C,,,
,,,,,,,,,,,,,,,,,,,,,,,,$34.14,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SQU%2BQO230/Approved%2BSupplier_SQUARE%2BD%2BTwo%2BPole%252C%2B30A%2BBreaker,27,,Electrical,,,,,,,,,"SQUARE D Two Pole, 30A Breaker",,,,,,,,,"QO230 SQUARE D TWO POLE BREAKER
Keywords: BREAKE SQU QO230  BREAKER EXPRESS BREAKE00055          QO230 SQUARE D TWO POLE BREAKER
Category:
[0] => ELECTRICAL => CIRCUIT BREAKERS => SQUARE D
[1] => SUPPLIER DIRECTORY => BREAKER EXPRESS => ELECTRICAL => CIRCUIT BREAKERS => SQUARE D
Kelly Legacy Part Number: 8410035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQU QO230,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,BREAKE00055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQU QO230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SQUARE D Two Pole, 30A Breaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$0.50,,,,,,,,,,,,,,,,,https://kscdirect.com/item/CON%2B17202.8/CONTACLIP%2BINC_3%2BPos%2BJumper%2B-%2B20%2BAmp%2B--%2BSQI%2B2%252C5%252F3%2BYE,1750,,Electrical,,,,,,,,,"3 Pos Jumper - 20 Amp -- SQI 2,5/3 YE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTACLIP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON 17202.8,,,,,,,,,,,,,,,,,,,,,,,,CONTACLIP INC,,,,,,,,,,,,,,,,,,,44211148553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17202.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Pos Jumper - 20 Amp -- SQI 2,5/3 YE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$4.16,,,,,,,,,,,,,,,,,https://kscdirect.com/item/ROMAX%2BCOP%2B6%252F3WG%2BBULK/ENCORE%2BWIRE_COPPER%2BROMAX%2B6%252F3WG%2B%2528%2B500%2527%2BREEL%2529%2B%2B%2B%2B101311200040,2521,,Electrical,,,,,,,,,COPPER ROMAX 6/3WG ( 500' REEL)    101311200040,,,,,,,,,"COPPER ROMAX 6/3WG ( 500' REEL)
Keywords: ENCORE ROMAX COP 6/3WG BULK  ENCORE WIRE LIMITED UNITTE00095          COPPER ROMAX 6/3WG ( 500 REEL)
Category:
[0] => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => COPPER WIRE => NMB (ROMEX)
[1] => SUPPLIER DIRECTORY => ENCORE WIRE LIMITED => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => COPPER WIRE => NMB (ROMEX)
Kelly Legacy Part Number: 8070103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROMAX COP 6/3WG BULK,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,739373023070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101311200040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPPER ROMAX 6/3WG ( 500' REEL)    101311200040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$0.07,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BIS%2B3340/Approved%2BSupplier_Clamp%2BCable%2BWhite%2BNylon%252C%2B1%2522,3350,,Electrical,,,,,,,,,"Clamp Cable White Nylon, 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIS 3340,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clamp Cable White Nylon, 1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1/2 in,,,,,,,,,$3.77,,,,,,,,,,,,,,,,,https://kscdirect.com/item/LB%2BPVCE%2B1%252F2/KRALOY%2BMULTI%2BFITTINGS%2BCORP_1%252F2%2BPVC%2BTYPE%2B%2527LB%2527%2BCONDUIT%2BBODY-078140%2B%2528%2BTopaz%2B1141%2B-25%252Fpk%2529,73,,Electrical,,,,,,,,,1/2 PVC TYPE 'LB' CONDUIT BODY-078140 ( Topaz 1141 -25/pk),,,,,,,,,"Description
Kraloy® Access Fitting, Type LB, 1/2 in Hub, 2 Hubs, 4.3 cu-in, PVC, 4.285 in L x 1.312 in W x 1.5 in H
Applications:
Residential Single, Multi-Family Dwellings, Food Processing Plants, Fish Processing Plants, Street, Highway Lighting, Sewage Treatment Plants, Water Treatment Plants, Bridges and Tunnels, Communications, Pulp, Paper, Agricultural, Car Washes, Marinas, Airports, Utilities and Cable Applications
Standards/Approval:
ARRA Compliant
Buy American Act Compliant
UL 514B
UL 514C
CSA C22.2 No. 85
NEMA TC-3
Warranty:
Limited",,,,,,,,,,,,,4.3 cu-in,,,,,,,,,,,,,,,,,,,,,,,,KRALOY MULTI FITTINGS CORP,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=7874690,,LB PVCE 1/2,,,,,,,,,,,,,,,,,,,,,,,,KRALOY MULTI FITTINGS CORP,,,,,,,4.285 in L x 1.312 in W x 1.5 in H,,,,,Type LB,,,,,,,622454781405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB05,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 PVC TYPE 'LB' CONDUIT BODY-078140 ( Topaz 1141 -25/pk),,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=LB%20PVCE%201%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$0.23,,,,,,,,,,,,,,,,,https://kscdirect.com/item/THHN%2BCOP%2B12%2BSTR%2BBLK/ENCORE%2BWIRE_COPPER%2BTHHN%2B12%2BSTRANDED%2B-%2BBLK%2B%2B%2B%2B106100801460,15500,,Electrical,,,,,,,,,COPPER THHN 12 STRANDED - BLK    106100801460,,,,,,,,,"COPPER THHN 12 STRANDED - BLK
View catalog page
Keywords: ENCORE THHN COP 12 STR BLK  ENCORE WIRE LIMITED UNITTE00300          COPPER THHN 12 STRANDED - BLK
Category:
[0] => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => COPPER WIRE => THHN
[1] => SUPPLIER DIRECTORY => ENCORE WIRE LIMITED => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => COPPER WIRE => THHN
Kelly Legacy Part Number: 8060305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THHN COP 12 STR BLK,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,50739373089125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106100801460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPPER THHN 12 STRANDED - BLK    106100801460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$21.51,,,,,,,,,,,,,,,Surface,,https://kscdirect.com/item/INT%2BWP1010MXD/INTERMATIC_Extra%2BDuty%2BDie-Cast%2BCover-vertical,44,,Electrical,,,,,,,,,Extra Duty Die-Cast Cover-vertical,,,,,,,,,"Description
Intermatic® Weatherproof While-In-Use Cover, Heavy Duty, 1 Outlets, 1 Gangs, 6.37 in Length, 3.87 in Width, 3-1/8 in Depth, Rectangular Shape, Receptacle Cover, -51 deg C, Neoprene Gasket Insulation, Vertical Mounting, Surface Mounting, Die-Cast Aluminum, Gray
Features:
Complies with 2020 NEC Article 406.9 (B)(1) for wet locations and extra-duty applications
Meets requirements for cold impact testing -60 deg F (-51 deg C)
Heavy-duty die-cast aluminum cover and mounting base with UV stabilized polycarbonate inserts
1/8 in (3 mm) thick, neoprene gasket with slits for mounting screws
Lockable hasp, All models accept up to 1/4 in (6 mm) dia shank
Impact rated 12 lbf. impact test to ensure cover remains intact
Reinforced hinge pin designed to exceed 40 lbf. hinge hang/stress test
Applications:
Sports Fields, Commercial, Agricultural and Signage, Residential and Industrial Applications
Standards/Approval:
2014 NEC Article 406.9(B)(1)
NEMA 3R
UL Listed
CSA Certified
CEC Rule 26-702
Warranty:
1 year",,,,,,,Rectangular,,,,,,,,,,,,,,,,,,,,,Vertical,,,,,,6.37 in,,,INTERMATIC,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4913784,,INT WP1010MXD,,,3-1/8 in,,,,,,,Neoprene Gasket,,3.87 in,,,,,,,,,,,,INTERMATIC,,,,,,,,,,,,Heavy Duty,,,,,,,078275130135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP1010MXD,,,,,Die-Cast Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,Receptacle,,,,,,,,,,,,,,,,,,,,,,,,,Gray,,,,,,,,Extra Duty Die-Cast Cover-vertical,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=INT%20WP1010MXD&mdx=300,,,,,,-51 deg C,,,
,,,,,,,,,,,,,2700 K,,,,,,,Contractor,,,,$9.73,120 VAC,,,,,,,,,,,,,11000 hr,,,https://kscdirect.com/item/SYL%2B73954/Osram%2BSylvania_LED9BR30DIM82710YVRP2,206,,Electrical,,,,,,,,,LED9BR30DIM82710YVRP2,,,,,,,,,"Description
Sylvania LED Reflector Lamp, Dimmable, Series: Contractor, LED9BR30DIM82710YVRP2 Designation, 9 W Wattage, 120 VAC, LED Lamp, E26 Medium Lamp Base, BR30 Shape, 650 Lumens Lumens, 11000 hr Average Life, 80 CRI, 2700 K Color Temperature, Instant Start, 3.74 in Dia x 5 in L Dimensions
Features:
Good color quality and lightweight
Energy savings up to 86%
Longer life than traditional incandescent lamps
No warm-up time, instant-on with full light output and stable color
Smooth heat sink design
Applications:
General Lighting, Recessed Downlight, Track Lighting, Wall Washer, Art Gallery, Hospitality, Museum, Office, Residential, Restaurant, Retail and Damp Location
Standards/Approval:
cETLus Listed
RoHS Compliant",,,,,,,BR30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osram Sylvania,,,,,,Instant,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5005213,E26 Medium,SYL 73954,,,,,,,,,,,,,,,,,,,,,,,,Osram Sylvania,,,,,,,3.74 in Dia x 5 in L,,,,,Dimmable,,,,,,,046135739545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73954,,,,,,,,,,,80,,,LED,,,,,,,LED9BR30DIM82710YVRP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650 Lumens,,,,,,LED9BR30DIM82710YVRP2,,,,,,,,9 W,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SYL%2073954&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SK Series,,,,$2.63,,,,,,,,,,,,,,,,,https://kscdirect.com/item/CAD%2BSK125I/CADDY%2BFASTENERS%2BERICO%2BPRODUCTS_CADDY%2B3%252F4%2BSTRUT%2BCLAMP%2BEMT%252FRIGID,789,,Electrical,,,,,,,,,CADDY 3/4 STRUT CLAMP EMT/RIGID,,,,,,,,,"Description
nVent CADDY Strut Clamp, 1-Piece, Series: SK Series, 3/4 in Conduit, 200 lb, 0.92 to 1.05 in Outside Dia, For Use With: EMT and Rigid Conduit, Steel, Electro-Galvanized, 1-1/4 in W
Features:
1-piece break apart strut clamp for EMT and rigid conduit
Applications:
Electrical Fixing and Fastening; Datacom and Low Voltage; HVAC, Plumbing and Refrigeration
Standards/Approval:
cULus Listed",,,Electro-Galvanized,,,,,,,,,3/4 in,,,,,,,,,,,,,,,,,,,,,,,,,CADDY FASTENERS ERICO PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=7832353,,CAD SK125I,,,,,,,,,,,,,,,,,,,,,,,,CADDY FASTENERS ERICO PRODUCTS,,,,,,,1-1/4 in W,,,,,1-Piece,0.92 to 1.05 in,,,,,,782856253372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SK125I,,,200 lb,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMT and Rigid Conduit,,,,CADDY 3/4 STRUT CLAMP EMT/RIGID,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=CAD%20SK125I&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$13.77,600 V,,,,,,,,,,,,,,,,https://kscdirect.com/item/GB%2B10-116/GB%2BELECTRICAL%2BINC_Spade%2BTerminal%252C%2B12-10%2BAwg%252C%2BStud%2BSz%2B8-10%252C%2BYellow%252C%2BPack%253A%2B50%252FEA,34,,Electrical,,,,,,,,,"Spade Terminal, 12-10 Awg, Stud Sz 8-10, Yellow, Pack: 50/EA",,,,,,,,,"Description
Gardner Bender Spade Terminal, 12 to 10 AWG Conductor, 8 to 10 in Stud, Insulated Barrel, 600 V, 167 deg F, Vinyl, Yellow
Features:
Quick and reliable crimp-type wire connections
Industry standard color-coding indicates wire gauge size
Applications:
General Purpose Applications
Standards/Approval:
cULus Listed
Warranty:
1 year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB ELECTRICAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB 10-116,,,,,,,,,,,,,,,,,,,,,,,,GB ELECTRICAL INC,,,,,,,,,,,,,,,,8 to 10 in,,,032076101169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-116,,,,,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulated,,,,,,,,,,12 to 10 AWG,,,,,,,,,,,,,,Yellow,,,,,,,,"Spade Terminal, 12-10 Awg, Stud Sz 8-10, Yellow, Pack: 50/EA",,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=GB%2010-116&mdx=300,,,,,,167 deg F,,,
,,,,,,,,,,,,,,,,,30 lb,,,,,,,$4.90,,,,,,,,,,,,,,,,,https://kscdirect.com/item/GB%2B46-206UVB/GB%2BELECTRICAL%2BINC_Cable%2BTie%252C%2BUvb%252C%2B6%2522%2B30%2BLb%252C%2BPack%253A%2B100%252FEA,143,,Electrical,,,,,,,,,"Cable Tie, Uvb, 6"" 30 Lb, Pack: 100/EA",,,,,,,,,"Description
Gardner Bender, 46-206UVB, Cable Tie, Bent Tip UV-Resistant, 6 in Length, 0.13 in Width, 0.055 in Thickness, 1.38 in Diameter Bundle, Lock Mechanism: Double-Locking Head, 30 lb Tensile Strength, -40 to 185 deg F, Nylon, UV Black
Features:
Patented DoubleLock® design has teeth on both sides of the tie, ensuring 50% greater strength than industry standards
Finger grips on end provides secure grip to tighten
Made from durable 100% nylon 6/6 material
Designed for strength, durability and reliability
Bent tip ensures easy insertion into the tie head
For all bundling and organizing tasks from the workshop to the office and from the laundry room to the kitchen
Applications:
Cable Bundling Applications
Standards/Approval:
UL Listed
RoHS Compliant
Warranty:
1 Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 in,,,GB ELECTRICAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=7850447,,GB 46-206UVB,,,,,,,,,,,,0.13 in,,,,,,,,1.38 in,,,,GB ELECTRICAL INC,,,,,,,,,,,,Bent Tip UV-Resistant,,,,,,,032076881498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46-206UVB,,,,,Nylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double-Locking Head,,,,,,,,,,,,,UV Black,,,,,,,,"Cable Tie, Uvb, 6"" 30 Lb, Pack: 100/EA",,,,,,,,,,0.055 in,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=GB%2046-206UVB&mdx=300,,,,,,-40 to 185 deg F,,,
